class,color_R,color_G,color_B,texture_0,texture_1,texture_2,texture_3,texture_4,edges_mean,spatial_mean,spatial_stddev,shape_area
Healthy,118.73927679825246,125.11382625994696,90.3951552504291,0.02530425963488844,0.08139530347948198,0.01962474645030426,0.08892963020752068,0.32230067093150255,11.855271883289126,119.24922374785459,41.94786944712183,197039.0
Healthy,112.39090926821657,142.24981666406617,90.7384966453425,0.006379700421282572,0.03188875019503823,0.011628179123108128,0.11307146200655328,0.3035574972694648,2.6269893899204244,127.446850132626,38.2633787769944,187974.5
Healthy,140.7621216258387,158.43868583242318,125.70466921516618,0.0010961148385083476,0.010569121547823374,0.003130363551256046,0.07535106880948667,0.14691644562334216,0.4282161803713528,149.40785809018567,23.805297162573485,450801.5
Healthy,110.91025120923702,126.15662349820566,78.65365111561867,0.0174500702137619,0.04740404119207365,0.0164631767826494,0.10752847558121392,0.31153261039163677,4.202586206896552,116.17954829146512,48.9435311037121,197870.5
Healthy,108.23472655640506,119.4562158683102,61.07579965673273,0.02429006085192698,0.08687587767202372,0.015839054454673117,0.07865891714776096,0.24386214698080824,15.475464190981432,109.42923623030114,51.56894100796526,157553.0
Healthy,130.93138360118584,145.23981705414263,108.85817015134967,0.010354579497581526,0.07484787018255579,0.012028007489467935,0.0835290216882509,0.3015603058199407,5.235079575596817,136.8131533780621,39.97885763447821,304000.0
Healthy,155.83310383835234,160.69375292557342,126.68989506943362,0.0035009361834919643,0.025078015290997034,0.008000468091745983,0.1003920268372601,0.24719535028865658,2.310179045092838,155.37231822437198,53.00728372305562,361018.0
Healthy,139.3732817132158,142.82719808082385,106.90514120767672,0.00640895615540646,0.044261975347168046,0.011879778436573568,0.08445155250429084,0.3202488687782805,8.003812997347481,137.7124843969418,54.768956961084406,298814.5
Healthy,124.12113044156656,136.9768450616321,106.04971134342333,0.02017475425183336,0.06732134498361679,0.016030191917615854,0.08900374473396785,0.31648268060539864,6.106432360742706,129.59969378998284,40.85871348258379,293028.5
Healthy,124.15852707130598,147.19284794819785,119.8555078795444,0.004712123576220939,0.043238024652831955,0.008915197378686223,0.0861444843189265,0.20954712123576222,2.022214854111406,137.15789124668436,29.732350691212517,327377.5
Healthy,124.52816547043221,133.46085582774225,96.15046614136372,0.01312607271025121,0.08044156654704322,0.01428264939928226,0.07999102824153534,0.31124590419722264,17.691147214854112,126.5287564362615,48.39147202456373,282377.0
Healthy,118.34159580277735,124.18147721953504,88.4990053050398,0.0437763301607115,0.07592058043376501,0.016309096582930255,0.0789631767826494,0.3373108129193322,32.90948275862069,118.36901427679825,52.44350100040412,251873.5
Healthy,143.1851829458574,148.87981939460136,119.97383952254643,0.01025315961928538,0.03546770166952723,0.014222187548759558,0.10737439538149478,0.33944648151037604,2.591180371352785,143.87674754251833,44.41478306159175,356804.0
Healthy,130.3845919800281,155.966273989702,121.52601029801842,0.012905679513184585,0.0764920424403183,0.010360430644406303,0.07769737868622249,0.24848260259010765,3.813163129973475,144.36431775628023,28.003259839152875,422013.5
Healthy,129.9464932126697,144.65200304259636,114.00048174442192,0.005919410204400063,0.039384069277578405,0.008724059915743486,0.09027734435949446,0.2435422842877204,1.9714854111405835,136.74087221095334,48.37551947486613,299649.5
Healthy,112.93297316273991,121.51221719457014,94.45674637228898,0.0038110469652051803,0.021288422530816038,0.008133094086440942,0.08754680917459823,0.3998732251521298,0.8285809018567639,115.8648716648463,44.88737898578182,196371.5
Healthy,96.42816156966767,119.62065844905602,75.23952644718365,0.015472382586987049,0.07878374161335622,0.0121157746918396,0.08137384927445779,0.28131533780621004,3.8738395225464193,107.62431736620377,41.00251434648146,90635.0
Healthy,134.65270322983307,150.30331174910285,122.53556522078328,0.01974762053362459,0.10789904821344984,0.012129427367764081,0.07397409892338898,0.24762248400686535,5.568302387267905,142.47496684350133,35.893596239623285,373080.5
Healthy,107.35157200811359,127.5700226244344,69.00320057731317,0.01099235450148229,0.060865579653612105,0.012546809174598222,0.09800475893275082,0.26271649243251677,8.430039787798409,114.8506845841785,50.3312016166736,193508.5
