                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4708,                 2.9315,                 1.8467,                0.16062,                 0.5955,                0.28475,                0.14759,                 1.6892,                 5.6409,                 2.1881,             0.00036481,             0.00036481,             0.00036481
                      2,                 1.4967,                 2.0419,                 1.8189,                0.77605,                0.22529,                0.20917,                0.10061,                 2.6591,                 3.3018,                 3.1906,             0.00072786,             0.00072786,             0.00072786
                      3,                 1.4768,                   1.94,                 1.8083,                0.09102,                0.44674,                0.19406,                0.09839,                 2.0974,                 4.7139,                 2.6362,              0.0010836,              0.0010836,              0.0010836
                      4,                 1.5118,                 1.9856,                  1.844,                0.38432,                0.19745,                0.16838,                0.08919,                 1.9543,                 4.7393,                  2.388,               0.001078,               0.001078,               0.001078
                      5,                 1.4813,                 1.8935,                 1.8093,                0.35162,                0.54668,                0.41579,                0.22094,                 1.8277,                 2.1496,                 2.1947,               0.001078,               0.001078,               0.001078
                      6,                 1.4434,                 1.8458,                 1.7729,                0.77693,                0.49211,                0.57145,                0.29643,                   1.67,                  1.611,                 2.0649,               0.001067,               0.001067,               0.001067
                      7,                 1.4458,                 1.7832,                 1.7726,                 0.3773,                 0.6433,                0.50691,                0.25336,                 1.7845,                 1.8511,                  2.096,               0.001056,               0.001056,               0.001056
                      8,                 1.4209,                 1.7904,                 1.7459,                0.41531,                0.64466,                0.57713,                0.31401,                 1.6431,                 1.6769,                 1.9661,               0.001045,               0.001045,               0.001045
                      9,                 1.4454,                 1.6849,                 1.7386,                 0.4365,                0.71787,                0.62051,                0.33958,                  1.481,                 1.5019,                  1.866,               0.001034,               0.001034,               0.001034
                     10,                  1.424,                 1.6561,                 1.7247,                0.60751,                0.61817,                 0.6457,                 0.3338,                 1.5184,                 1.5435,                 1.9939,               0.001023,               0.001023,               0.001023
                     11,                 1.3831,                 1.5887,                 1.6893,                 0.5831,                0.53207,                  0.583,                0.28182,                 1.8022,                 2.0182,                  2.183,               0.001012,               0.001012,               0.001012
                     12,                 1.3747,                 1.5989,                  1.693,                0.58073,                0.74344,                0.77001,                 0.4336,                 1.5723,                 1.2824,                 1.8492,               0.001001,               0.001001,               0.001001
                     13,                  1.368,                 1.6011,                 1.6677,                0.61176,                0.68489,                0.71826,                0.40337,                 1.5449,                 1.3691,                 1.9306,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.3527,                 1.5591,                 1.6798,                0.66371,                0.69025,                0.75231,                0.43419,                 1.5464,                 1.3728,                 1.8437,             0.00097901,             0.00097901,             0.00097901
